;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0;1.0;0.004;0.001;0.0;0.032;0.002;0.069;0.001;0.001;0.0;0.001;0.0;0.0;0.011;0.003;0.013;0.0;0.109;0.0;0.014;0.013;0.003;0.0;0.566;0.126;0.162;0.053;0.0;0.023;0.0;0.006;0.115
1;0.004;1.0;0.26;0.011;0.0;0.006;0.04;0.002;0.014;0.022;0.005;0.022;0.0;0.01;0.0;0.0;0.005;0.046;0.011;0.021;0.025;0.002;0.0;0.002;0.01;0.0;0.003;0.0;0.0;0.0;0.0;0.058
2;0.001;0.26;1.0;0.077;0.002;0.228;0.243;0.03;0.025;0.111;0.002;0.035;0.042;0.164;0.004;0.066;0.04;0.358;0.103;0.219;0.212;0.055;0.0;0.011;0.012;0.013;0.001;0.001;0.002;0.01;0.064;0.131
3;0.0;0.011;0.077;1.0;0.08;0.26;0.338;0.004;0.882;0.687;0.018;0.143;0.773;0.476;0.033;0.417;0.0;0.381;0.159;0.031;0.135;0.039;0.265;0.011;0.086;0.087;0.211;0.062;0.026;0.246;0.233;0.516
4;0.032;0.0;0.002;0.08;1.0;0.003;0.031;0.0;0.108;0.104;0.002;0.036;0.082;0.028;0.075;0.026;0.002;0.012;0.041;0.002;0.006;0.003;0.483;0.01;0.007;0.083;0.365;0.271;0.047;0.184;0.039;0.013
5;0.002;0.006;0.228;0.26;0.003;1.0;0.064;0.002;0.23;0.152;0.004;0.019;0.369;0.18;0.002;0.252;0.0;0.122;0.185;0.007;0.038;0.008;0.003;0.001;0.066;0.001;0.083;0.004;0.001;0.029;0.037;0.277
6;0.069;0.04;0.243;0.338;0.031;0.064;1.0;0.051;0.185;0.467;0.112;0.511;0.11;0.312;0.018;0.037;0.021;0.778;0.092;0.223;0.371;0.101;0.028;0.027;0.008;0.111;0.001;0.049;0.006;0.181;0.087;0.24
7;0.001;0.002;0.03;0.004;0.0;0.002;0.051;1.0;0.0;0.044;0.593;0.016;0.006;0.133;0.394;0.007;0.661;0.032;0.03;0.202;0.403;0.857;0.0;0.005;0.003;0.0;0.003;0.004;0.222;0.091;0.218;0.001
8;0.001;0.014;0.025;0.882;0.108;0.23;0.185;0.0;1.0;0.394;0.006;0.083;0.674;0.281;0.004;0.223;0.0;0.206;0.083;0.006;0.043;0.007;0.323;0.019;0.056;0.06;0.124;0.05;0.004;0.116;0.067;0.515
9;0.0;0.022;0.111;0.687;0.104;0.152;0.467;0.044;0.394;1.0;0.087;0.359;0.412;0.506;0.176;0.248;0.032;0.333;0.436;0.077;0.233;0.151;0.174;0.004;0.035;0.063;0.235;0.193;0.084;0.634;0.412;0.229
10;0.001;0.005;0.002;0.018;0.002;0.004;0.112;0.593;0.006;0.087;1.0;0.005;0.021;0.267;0.333;0.006;0.547;0.076;0.034;0.079;0.409;0.687;0.0;0.006;0.004;0.0;0.003;0.02;0.078;0.161;0.15;0.007
11;0.0;0.022;0.035;0.143;0.036;0.019;0.511;0.016;0.083;0.359;0.005;1.0;0.025;0.025;0.013;0.003;0.0;0.146;0.074;0.006;0.008;0.0;0.029;0.001;0.002;0.063;0.0;0.082;0.008;0.165;0.021;0.032
12;0.0;0.0;0.042;0.773;0.082;0.369;0.11;0.006;0.674;0.412;0.021;0.025;1.0;0.522;0.018;0.609;0.0;0.183;0.139;0.009;0.105;0.037;0.264;0.008;0.23;0.016;0.319;0.04;0.011;0.189;0.237;0.438
13;0.011;0.01;0.164;0.476;0.028;0.18;0.312;0.133;0.281;0.506;0.267;0.025;0.522;1.0;0.122;0.376;0.049;0.467;0.183;0.163;0.556;0.357;0.068;0.009;0.196;0.017;0.095;0.05;0.031;0.288;0.427;0.448
14;0.003;0.0;0.004;0.033;0.075;0.002;0.018;0.394;0.004;0.176;0.333;0.013;0.018;0.122;1.0;0.03;0.262;0.009;0.109;0.058;0.187;0.492;0.018;0.011;0.011;0.033;0.088;0.202;0.665;0.568;0.401;0.001
15;0.013;0.0;0.066;0.417;0.026;0.252;0.037;0.007;0.223;0.248;0.006;0.003;0.609;0.376;0.03;1.0;0.0;0.151;0.066;0.083;0.161;0.055;0.039;0.021;0.351;0.097;0.264;0.004;0.04;0.093;0.436;0.147
16;0.0;0.005;0.04;0.0;0.002;0.0;0.021;0.661;0.0;0.032;0.547;0.0;0.0;0.049;0.262;0.0;1.0;0.004;0.084;0.041;0.168;0.548;0.0;0.0;0.0;0.0;0.0;0.015;0.098;0.086;0.072;0.0
17;0.109;0.046;0.358;0.381;0.012;0.122;0.778;0.032;0.206;0.333;0.076;0.146;0.183;0.467;0.009;0.151;0.004;1.0;0.057;0.314;0.538;0.123;0.032;0.042;0.031;0.11;0.005;0.02;0.005;0.095;0.165;0.455
