;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;1.0;0.016;0.034;0.007;0.006;0.047;0.05;0.037;0.087;0.108;0.009;0.011;0.002;0.012;0.032;0.059
1;0.016;1.0;0.021;0.016;0.062;0.006;0.05;0.059;0.004;0.021;0.077;0.063;0.001;0.01;0.018;0.04
2;0.034;0.021;1.0;0.044;0.075;0.055;0.002;0.158;0.092;0.046;0.102;0.001;0.021;0.037;0.014;0.007
3;0.007;0.016;0.044;1.0;0.059;0.063;0.005;0.017;0.028;0.004;0.008;0.027;0.05;0.002;0.031;0.082
4;0.006;0.062;0.075;0.059;1.0;0.017;0.013;0.021;0.031;0.035;0.079;0.011;0.038;0.008;0.117;0.027
5;0.047;0.006;0.055;0.063;0.017;1.0;0.012;0.071;0.004;0.016;0.044;0.024;0.009;0.015;0.1;0.014
6;0.05;0.05;0.002;0.005;0.013;0.012;1.0;0.061;0.052;0.042;0.011;0.102;0.034;0.015;0.053;0.001
7;0.037;0.059;0.158;0.017;0.021;0.071;0.061;1.0;0.075;0.009;0.021;0.027;0.006;0.009;0.083;0.042
8;0.087;0.004;0.092;0.028;0.031;0.004;0.052;0.075;1.0;0.006;0.065;0.005;0.0;0.087;0.022;0.0
9;0.108;0.021;0.046;0.004;0.035;0.016;0.042;0.009;0.006;1.0;0.0;0.015;0.016;0.149;0.144;0.082
10;0.009;0.077;0.102;0.008;0.079;0.044;0.011;0.021;0.065;0.0;1.0;0.005;0.073;0.082;0.014;0.055
11;0.011;0.063;0.001;0.027;0.011;0.024;0.102;0.027;0.005;0.015;0.005;1.0;0.001;0.069;0.018;0.051
12;0.002;0.001;0.021;0.05;0.038;0.009;0.034;0.006;0.0;0.016;0.073;0.001;1.0;0.029;0.002;0.008
13;0.012;0.01;0.037;0.002;0.008;0.015;0.015;0.009;0.087;0.149;0.082;0.069;0.029;1.0;0.028;0.013
14;0.032;0.018;0.014;0.031;0.117;0.1;0.053;0.083;0.022;0.144;0.014;0.018;0.002;0.028;1.0;0.077
15;0.059;0.04;0.007;0.082;0.027;0.014;0.001;0.042;0.0;0.082;0.055;0.051;0.008;0.013;0.077;1.0
