;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0;1.0;0.012;0.038;0.095;0.021;0.019;0.008;0.016;0.017;0.027;0.025;0.081;0.049;0.02;0.003;0.047;0.007;0.049;0.005;0.001;0.007;0.025;0.151;0.01;0.005;0.066;0.001;0.037;0.02;0.01;0.073;0.057
1;0.012;1.0;0.034;0.046;0.057;0.011;0.07;0.027;0.16;0.064;0.033;0.088;0.049;0.005;0.055;0.005;0.017;0.058;0.069;0.032;0.056;0.069;0.015;0.059;0.091;0.044;0.014;0.011;0.082;0.024;0.057;0.004
2;0.038;0.034;1.0;0.024;0.002;0.004;0.052;0.017;0.011;0.052;0.002;0.004;0.062;0.008;0.001;0.007;0.0;0.011;0.039;0.01;0.01;0.005;0.062;0.026;0.035;0.016;0.034;0.033;0.011;0.003;0.011;0.102
3;0.095;0.046;0.024;1.0;0.003;0.033;0.083;0.02;0.05;0.048;0.012;0.042;0.072;0.025;0.085;0.065;0.025;0.195;0.038;0.009;0.041;0.103;0.01;0.011;0.004;0.021;0.015;0.022;0.052;0.007;0.02;0.005
4;0.021;0.057;0.002;0.003;1.0;0.043;0.01;0.031;0.034;0.065;0.029;0.02;0.006;0.096;0.133;0.018;0.011;0.003;0.054;0.072;0.016;0.006;0.09;0.03;0.055;0.038;0.143;0.004;0.019;0.021;0.006;0.083
5;0.019;0.011;0.004;0.033;0.043;1.0;0.088;0.005;0.031;0.011;0.044;0.133;0.005;0.052;0.037;0.047;0.004;0.054;0.015;0.018;0.005;0.013;0.006;0.046;0.015;0.005;0.068;0.011;0.006;0.035;0.003;0.015
6;0.008;0.07;0.052;0.083;0.01;0.088;1.0;0.017;0.009;0.005;0.004;0.014;0.017;0.035;0.064;0.02;0.009;0.06;0.037;0.008;0.04;0.16;0.03;0.043;0.026;0.005;0.04;0.007;0.012;0.051;0.025;0.058
7;0.016;0.027;0.017;0.02;0.031;0.005;0.017;1.0;0.017;0.01;0.141;0.058;0.023;0.063;0.001;0.0;0.043;0.012;0.034;0.016;0.008;0.062;0.002;0.01;0.01;0.04;0.028;0.074;0.029;0.017;0.049;0.03
8;0.017;0.16;0.011;0.05;0.034;0.031;0.009;0.017;1.0;0.003;0.0;0.026;0.025;0.07;0.009;0.063;0.031;0.005;0.012;0.0;0.022;0.094;0.042;0.072;0.022;0.012;0.04;0.022;0.019;0.116;0.059;0.088
9;0.027;0.064;0.052;0.048;0.065;0.011;0.005;0.01;0.003;1.0;0.057;0.049;0.012;0.047;0.021;0.021;0.074;0.014;0.036;0.049;0.041;0.054;0.005;0.006;0.018;0.0;0.018;0.032;0.057;0.002;0.013;0.019
10;0.025;0.033;0.002;0.012;0.029;0.044;0.004;0.141;0.0;0.057;1.0;0.014;0.053;0.023;0.018;0.019;0.004;0.013;0.018;0.079;0.002;0.03;0.005;0.054;0.039;0.059;0.001;0.125;0.02;0.007;0.114;0.036
11;0.081;0.088;0.004;0.042;0.02;0.133;0.014;0.058;0.026;0.049;0.014;1.0;0.065;0.139;0.032;0.026;0.023;0.019;0.003;0.002;0.116;0.039;0.124;0.025;0.0;0.0;0.032;0.0;0.027;0.045;0.007;0.005
12;0.049;0.049;0.062;0.072;0.006;0.005;0.017;0.023;0.025;0.012;0.053;0.065;1.0;0.0;0.019;0.004;0.014;0.029;0.002;0.002;0.021;0.003;0.033;0.042;0.002;0.015;0.032;0.009;0.049;0.001;0.045;0.017
13;0.02;0.005;0.008;0.025;0.096;0.052;0.035;0.063;0.07;0.047;0.023;0.139;0.0;1.0;0.028;0.031;0.013;0.065;0.027;0.003;0.004;0.001;0.048;0.025;0.009;0.015;0.011;0.034;0.018;0.0;0.014;0.088
14;0.003;0.055;0.001;0.085;0.133;0.037;0.064;0.001;0.009;0.021;0.018;0.032;0.019;0.028;1.0;0.0;0.014;0.044;0.135;0.023;0.007;0.013;0.042;0.003;0.028;0.114;0.004;0.047;0.013;0.058;0.035;0.011
15;0.047;0.005;0.007;0.065;0.018;0.047;0.02;0.0;0.063;0.021;0.019;0.026;0.004;0.031;0.0;1.0;0.09;0.056;0.078;0.017;0.01;0.032;0.016;0.035;0.078;0.054;0.127;0.025;0.013;0.002;0.019;0.0
16;0.007;0.017;0.0;0.025;0.011;0.004;0.009;0.043;0.031;0.074;0.004;0.023;0.014;0.013;0.014;0.09;1.0;0.091;0.006;0.019;0.021;0.042;0.078;0.023;0.032;0.026;0.042;0.096;0.037;0.043;0.041;0.003
17;0.049;0.058;0.011;0.195;0.003;0.054;0.06;0.012;0.005;0.014;0.013;0.019;0.029;0.065;0.044;0.056;0.091;1.0;0.007;0.002;0.027;0.142;0.065;0.019;0.036;0.002;0.06;0.006;0.013;0.008;0.141;0.004
18;0.005;0.069;0.039;0.038;0.054;0.015;0.037;0.034;0.012;0.036;0.018;0.003;0.002;0.027;0.135;0.078;0.006;0.007;1.0;0.021;0.05;0.064;0.001;0.002;0.033;0.107;0.026;0.005;0.013;0.028;0.021;0.007
19;0.001;0.032;0.01;0.009;0.072;0.018;0.008;0.016;0.0;0.049;0.079;0.002;0.002;0.003;0.023;0.017;0.019;0.002;0.021;1.0;0.006;0.018;0.016;0.003;0.003;0.007;0.046;0.006;0.01;0.04;0.043;0.022
20;0.007;0.056;0.01;0.041;0.016;0.005;0.04;0.008;0.022;0.041;0.002;0.116;0.021;0.004;0.007;0.01;0.021;0.027;0.05;0.006;1.0;0.004;0.002;0.083;0.006;0.01;0.002;0.008;0.001;0.003;0.015;0.017
21;0.025;0.069;0.005;0.103;0.006;0.013;0.16;0.062;0.094;0.054;0.03;0.039;0.003;0.001;0.013;0.032;0.042;0.142;0.064;0.018;0.004;1.0;0.091;0.064;0.03;0.002;0.02;0.052;0.023;0.068;0.003;0.002
