;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;1.0;0.034;0.013;0.0;0.004;0.003;0.056;0.018;0.001;0.001;0.004;0.017;0.022;0.011;0.007;0.018
1;0.034;1.0;0.005;0.165;0.002;0.0;0.083;0.0;0.012;0.116;0.074;0.004;0.0;0.038;0.0;0.336
2;0.013;0.005;1.0;0.0;0.035;0.017;0.01;0.035;0.001;0.046;0.0;0.006;0.015;0.0;0.202;0.007
3;0.0;0.165;0.0;1.0;0.001;0.013;0.222;0.006;0.0;0.017;0.003;0.068;0.01;0.0;0.012;0.095
4;0.004;0.002;0.035;0.001;1.0;0.02;0.005;0.002;0.01;0.0;0.001;0.001;0.016;0.061;0.015;0.004
5;0.003;0.0;0.017;0.013;0.02;1.0;0.0;0.005;0.016;0.001;0.0;0.001;0.037;0.023;0.011;0.018
6;0.056;0.083;0.01;0.222;0.005;0.0;1.0;0.002;0.0;0.012;0.041;0.202;0.0;0.0;0.042;0.039
7;0.018;0.0;0.035;0.006;0.002;0.005;0.002;1.0;0.051;0.0;0.007;0.005;0.004;0.013;0.007;0.001
8;0.001;0.012;0.001;0.0;0.01;0.016;0.0;0.051;1.0;0.083;0.281;0.009;0.0;0.032;0.0;0.001
9;0.001;0.116;0.046;0.017;0.0;0.001;0.012;0.0;0.083;1.0;0.045;0.022;0.001;0.045;0.003;0.023
10;0.004;0.074;0.0;0.003;0.001;0.0;0.041;0.007;0.281;0.045;1.0;0.03;0.0;0.004;0.0;0.002
11;0.017;0.004;0.006;0.068;0.001;0.001;0.202;0.005;0.009;0.022;0.03;1.0;0.004;0.0;0.0;0.004
12;0.022;0.0;0.015;0.01;0.016;0.037;0.0;0.004;0.0;0.001;0.0;0.004;1.0;0.001;0.285;0.0
13;0.011;0.038;0.0;0.0;0.061;0.023;0.0;0.013;0.032;0.045;0.004;0.0;0.001;1.0;0.002;0.272
14;0.007;0.0;0.202;0.012;0.015;0.011;0.042;0.007;0.0;0.003;0.0;0.0;0.285;0.002;1.0;0.0
15;0.018;0.336;0.007;0.095;0.004;0.018;0.039;0.001;0.001;0.023;0.002;0.004;0.0;0.272;0.0;1.0
