;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;1.0;0.002;0.002;0.001;0.005;0.0;0.0;0.024;0.126;0.014;0.027;0.003;0.001;0.068;0.0;0.123
1;0.002;1.0;0.204;0.027;0.025;0.099;0.008;0.07;0.337;0.197;0.236;0.042;0.001;0.001;0.009;0.122
2;0.002;0.204;1.0;0.003;0.214;0.141;0.004;0.27;0.134;0.005;0.025;0.009;0.006;0.075;0.02;0.27
3;0.001;0.027;0.003;1.0;0.0;0.062;0.627;0.009;0.038;0.214;0.423;0.839;0.0;0.003;0.092;0.004
4;0.005;0.025;0.214;0.0;1.0;0.39;0.003;0.214;0.208;0.003;0.045;0.007;0.364;0.163;0.126;0.556
5;0.0;0.099;0.141;0.062;0.39;1.0;0.111;0.232;0.35;0.09;0.253;0.154;0.171;0.228;0.623;0.236
6;0.0;0.008;0.004;0.627;0.003;0.111;1.0;0.012;0.096;0.084;0.39;0.716;0.004;0.005;0.168;0.014
7;0.024;0.07;0.27;0.009;0.214;0.232;0.012;1.0;0.174;0.085;0.15;0.048;0.041;0.294;0.107;0.178
8;0.126;0.337;0.134;0.038;0.208;0.35;0.096;0.174;1.0;0.327;0.544;0.128;0.015;0.004;0.097;0.446
9;0.014;0.197;0.005;0.214;0.003;0.09;0.084;0.085;0.327;1.0;0.657;0.316;0.0;0.002;0.028;0.023
10;0.027;0.236;0.025;0.423;0.045;0.253;0.39;0.15;0.544;0.657;1.0;0.667;0.008;0.018;0.163;0.108
11;0.003;0.042;0.009;0.839;0.007;0.154;0.716;0.048;0.128;0.316;0.667;1.0;0.002;0.021;0.247;0.007
12;0.001;0.001;0.006;0.0;0.364;0.171;0.004;0.041;0.015;0.0;0.008;0.002;1.0;0.286;0.191;0.054
13;0.068;0.001;0.075;0.003;0.163;0.228;0.005;0.294;0.004;0.002;0.018;0.021;0.286;1.0;0.296;0.006
14;0.0;0.009;0.02;0.092;0.126;0.623;0.168;0.107;0.097;0.028;0.163;0.247;0.191;0.296;1.0;0.043
15;0.123;0.122;0.27;0.004;0.556;0.236;0.014;0.178;0.446;0.023;0.108;0.007;0.054;0.006;0.043;1.0
