;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0;1.0;0.0;0.034;0.008;0.003;0.013;0.003;0.0;0.004;0.003;0.055;0.0;0.001;0.127;0.015;0.018;0.183;0.001;0.0;0.001;0.004;0.017;0.022;0.102;0.008;0.003;0.011;0.011;0.0;0.006;0.014;0.018
1;0.0;1.0;0.002;0.001;0.187;0.002;0.002;0.042;0.0;0.0;0.001;0.054;0.004;0.0;0.084;0.0;0.0;0.0;0.059;0.0;0.0;0.0;0.072;0.0;0.003;0.011;0.005;0.0;0.084;0.038;0.11;0.001
2;0.034;0.002;1.0;0.0;0.0;0.004;0.086;0.177;0.002;0.001;0.09;0.0;0.084;0.025;0.021;0.0;0.0;0.014;0.001;0.123;0.08;0.004;0.0;0.031;0.013;0.0;0.041;0.0;0.014;0.0;0.001;0.34
3;0.008;0.001;0.0;1.0;0.003;0.017;0.001;0.0;0.62;0.136;0.002;0.056;0.018;0.024;0.0;0.005;0.013;0.022;0.004;0.0;0.0;0.001;0.061;0.011;0.038;0.052;0.103;0.014;0.002;0.001;0.002;0.043
4;0.003;0.187;0.0;0.003;1.0;0.002;0.125;0.003;0.001;0.008;0.0;0.061;0.002;0.003;0.023;0.049;0.004;0.006;0.0;0.002;0.0;0.001;0.062;0.0;0.0;0.083;0.001;0.0;0.01;0.027;0.229;0.0
5;0.013;0.002;0.004;0.017;0.002;1.0;0.015;0.0;0.034;0.016;0.01;0.002;0.007;0.016;0.021;0.038;0.0;0.001;0.077;0.049;0.0;0.008;0.013;0.046;0.06;0.001;0.0;0.059;0.002;0.196;0.016;0.007
6;0.003;0.002;0.086;0.001;0.125;0.015;1.0;0.01;0.003;0.003;0.019;0.004;0.012;0.0;0.007;0.007;0.012;0.024;0.002;0.027;0.147;0.04;0.005;0.004;0.016;0.015;0.018;0.001;0.014;0.022;0.085;0.048
7;0.0;0.042;0.177;0.0;0.003;0.0;0.01;1.0;0.0;0.013;0.208;0.014;0.003;0.001;0.058;0.007;0.01;0.0;0.006;0.017;0.004;0.067;0.011;0.013;0.001;0.002;0.0;0.005;0.216;0.015;0.017;0.089
8;0.004;0.0;0.002;0.62;0.001;0.034;0.003;0.0;1.0;0.016;0.005;0.047;0.007;0.017;0.001;0.003;0.013;0.012;0.012;0.0;0.002;0.002;0.015;0.015;0.01;0.032;0.058;0.006;0.002;0.015;0.0;0.003
9;0.003;0.0;0.001;0.136;0.008;0.016;0.003;0.013;0.016;1.0;0.0;0.006;0.0;0.053;0.001;0.006;0.001;0.016;0.111;0.002;0.0;0.001;0.033;0.004;0.266;0.132;0.024;0.001;0.009;0.011;0.0;0.018
10;0.055;0.001;0.09;0.002;0.0;0.01;0.019;0.208;0.005;0.0;1.0;0.006;0.007;0.01;0.019;0.001;0.087;0.0;0.0;0.009;0.039;0.194;0.0;0.094;0.007;0.0;0.0;0.0;0.082;0.037;0.003;0.037
11;0.0;0.054;0.0;0.056;0.061;0.002;0.004;0.014;0.047;0.006;0.006;1.0;0.004;0.001;0.045;0.0;0.0;0.001;0.018;0.0;0.0;0.0;0.107;0.001;0.073;0.043;0.0;0.028;0.07;0.012;0.015;0.0
12;0.001;0.004;0.084;0.018;0.002;0.007;0.012;0.003;0.007;0.0;0.007;0.004;1.0;0.025;0.008;0.014;0.0;0.0;0.069;0.012;0.017;0.007;0.02;0.002;0.035;0.029;0.016;0.015;0.0;0.0;0.0;0.185
13;0.127;0.0;0.025;0.024;0.003;0.016;0.0;0.001;0.017;0.053;0.01;0.001;0.025;1.0;0.002;0.008;0.104;0.145;0.0;0.004;0.096;0.001;0.0;0.071;0.081;0.0;0.002;0.0;0.004;0.0;0.0;0.067
14;0.015;0.084;0.021;0.0;0.023;0.021;0.007;0.058;0.001;0.001;0.019;0.045;0.008;0.002;1.0;0.0;0.038;0.0;0.001;0.002;0.008;0.236;0.037;0.03;0.001;0.002;0.0;0.12;0.423;0.016;0.121;0.002
15;0.018;0.0;0.0;0.005;0.049;0.038;0.007;0.007;0.003;0.006;0.001;0.0;0.014;0.008;0.0;1.0;0.02;0.051;0.006;0.0;0.007;0.006;0.005;0.006;0.013;0.035;0.017;0.037;0.002;0.008;0.269;0.0
16;0.183;0.0;0.0;0.013;0.004;0.0;0.012;0.01;0.013;0.001;0.087;0.0;0.0;0.104;0.038;0.02;1.0;0.016;0.0;0.002;0.051;0.007;0.0;0.15;0.0;0.0;0.025;0.004;0.004;0.0;0.0;0.008
17;0.001;0.0;0.014;0.022;0.006;0.001;0.024;0.0;0.012;0.016;0.0;0.001;0.0;0.145;0.0;0.051;0.016;1.0;0.0;0.08;0.276;0.004;0.0;0.002;0.032;0.0;0.041;0.0;0.001;0.0;0.005;0.002
18;0.0;0.059;0.001;0.004;0.0;0.077;0.002;0.006;0.012;0.111;0.0;0.018;0.069;0.0;0.001;0.006;0.0;0.0;1.0;0.0;0.0;0.0;0.034;0.0;0.116;0.024;0.0;0.028;0.001;0.018;0.008;0.0
19;0.001;0.0;0.123;0.0;0.002;0.049;0.027;0.017;0.0;0.002;0.009;0.0;0.012;0.004;0.002;0.0;0.002;0.08;0.0;1.0;0.051;0.02;0.001;0.014;0.067;0.0;0.054;0.002;0.003;0.006;0.053;0.034
20;0.004;0.0;0.08;0.0;0.0;0.0;0.147;0.004;0.002;0.0;0.039;0.0;0.017;0.096;0.008;0.007;0.051;0.276;0.0;0.051;1.0;0.026;0.0;0.02;0.001;0.0;0.004;0.0;0.023;0.0;0.0;0.002
21;0.017;0.0;0.004;0.001;0.001;0.008;0.04;0.067;0.002;0.001;0.194;0.0;0.007;0.001;0.236;0.006;0.007;0.004;0.0;0.02;0.026;1.0;0.003;0.028;0.0;0.0;0.0;0.013;0.179;0.0;0.022;0.0
22;0.022;0.072;0.0;0.061;0.062;0.013;0.005;0.011;0.015;0.033;0.0;0.107;0.02;0.0;0.037;0.005;0.0;0.0;0.034;0.001;0.0;0.003;1.0;0.0;0.045;0.337;0.001;0.334;0.07;0.261;0.045;0.0
23;0.102;0.0;0.031;0.011;0.0;0.046;0.004;0.013;0.015;0.004;0.094;0.001;0.002;0.071;0.03;0.006;0.15;0.002;0.0;0.014;0.02;0.028;0.0;1.0;0.008;0.0;0.002;0.003;0.034;0.019;0.001;0.001
24;0.008;0.003;0.013;0.038;0.0;0.06;0.016;0.001;0.01;0.266;0.007;0.073;0.035;0.081;0.001;0.013;0.0;0.032;0.116;0.067;0.001;0.0;0.045;0.008;1.0;0.089;0.165;0.0;0.0;0.0;0.004;0.052
25;0.003;0.011;0.0;0.052;0.083;0.001;0.015;0.002;0.032;0.132;0.0;0.043;0.029;0.0;0.002;0.035;0.0;0.0;0.024;0.0;0.0;0.0;0.337;0.0;0.089;1.0;0.009;0.006;0.001;0.062;0.018;0.0
26;0.011;0.005;0.041;0.103;0.001;0.0;0.018;0.0;0.058;0.024;0.0;0.0;0.016;0.002;0.0;0.017;0.025;0.041;0.0;0.054;0.004;0.0;0.001;0.002;0.165;0.009;1.0;0.002;0.0;0.003;0.004;0.285
27;0.011;0.0;0.0;0.014;0.0;0.059;0.001;0.005;0.006;0.001;0.0;0.028;0.015;0.0;0.12;0.037;0.004;0.0;0.028;0.002;0.0;0.013;0.334;0.003;0.0;0.006;0.002;1.0;0.052;0.373;0.02;0.0
28;0.0;0.084;0.014;0.002;0.01;0.002;0.014;0.216;0.002;0.009;0.082;0.07;0.0;0.004;0.423;0.002;0.004;0.001;0.001;0.003;0.023;0.179;0.07;0.034;0.0;0.001;0.0;0.052;1.0;0.042;0.016;0.001
29;0.006;0.038;0.0;0.001;0.027;0.196;0.022;0.015;0.015;0.011;0.037;0.012;0.0;0.0;0.016;0.008;0.0;0.0;0.018;0.006;0.0;0.0;0.261;0.019;0.0;0.062;0.003;0.373;0.042;1.0;0.022;0.0
30;0.014;0.11;0.001;0.002;0.229;0.016;0.085;0.017;0.0;0.0;0.003;0.015;0.0;0.0;0.121;0.269;0.0;0.005;0.008;0.053;0.0;0.022;0.045;0.001;0.004;0.018;0.004;0.02;0.016;0.022;1.0;0.008
31;0.018;0.001;0.34;0.043;0.0;0.007;0.048;0.089;0.003;0.018;0.037;0.0;0.185;0.067;0.002;0.0;0.008;0.002;0.0;0.034;0.002;0.0;0.0;0.001;0.052;0.0;0.285;0.0;0.001;0.0;0.008;1.0
